ORIGIN_AIRPORT_NUMBER,ORIGIN_AIRPORT
277,Ted Stevens Anchorage International Airport
91,Fairbanks International Airport
268,Spokane International Airport
224,Portland International Airport
165,Los Angeles International Airport
218,Phoenix Sky Harbor International Airport
71,Denver International Airport
208,Oakland International Airport
209,Ontario International Airport
249,San Diego International Airport (Lindbergh Field)
21,Bellingham International Airport
246,Salt Lake City International Airport
204,Norman Y. Mineta San José International Airport
176,McCarran International Airport
199,Newark Liberty International Airport
187,Minneapolis-Saint Paul International Airport
213,Palm Springs International Airport
250,San Francisco International Airport
140,John Wayne Airport (Orange County Airport)
31,Bob Hope Airport (Hollywood Burbank Airport)
245,Sacramento International Airport
142,Juneau International Airport
243,Ronald Reagan Washington National Airport
52,Chicago O'Hare International Airport
65,Dallas/Fort Worth International Airport
128,Honolulu International Airport
146,Ketchikan International Airport
161,Lihue Airport
143,Kahului Airport
150,Kona International Airport at Keahole
285,Tucson International Airport
7,Albuquerque International Sunport
145,Kansas City International Airport
74,Detroit Metropolitan Airport
103,Gen. Edward Lawrence Logan International Airport
18,Baltimore-Washington International Airport
210,Orlando International Airport
217,Philadelphia International Airport
106,George Bush Intercontinental Airport
121,Hartsfield-Jackson Atlanta International Airport
276,Tampa International Airport
272,St. Louis International Airport at Lambert Field
166,Louis Armstrong New Orleans International Airport
96,Fort Lauderdale-Hollywood International Airport
248,San Antonio International Airport
17,Austin-Bergstrom International Airport
139,John F. Kennedy International Airport (New York International Airport)
185,Miami International Airport
87,Eppley Airfield
104,General Mitchell International Airport
294,Washington Dulles International Airport
47,Charlotte Douglas International Airport
56,City of Colorado Springs Municipal Airport
99,Fresno Yosemite International Airport
134,Jackson Hole Airport
308,Yampa Valley Airport (Yampa Valley Regional)
55,Cincinnati/Northern Kentucky International Airport
51,Chicago Midway International Airport
33,Bozeman Yellowstone International Airport (Gallatin Field Airport)
163,Long Beach Airport (Daugherty Field)
252,Santa Barbara Municipal Airport (Santa Barbara Airport)
258,Seattle-Tacoma International Airport
202,Nome Airport
299,Wiley Post-Will Rogers Memorial Airport
262,Sitka Rocky Gutierrez Airport
216,Petersburg James A. Johnson Airport
307,Yakutat Airport
286,Tulsa International Airport
25,Bill and Hillary Clinton National Airport (Adams Field)
301,Will Rogers World Airport
197,Nashville International Airport
229,Raleigh-Durham International Airport
220,Pittsburgh International Airport
72,Des Moines International Airport
57,Cleveland Hopkins International Airport
132,Indianapolis International Airport
